method_name,metric,r_lo,r_hi,slope
text_mstcn,Mult_acc_7,0.1,0.15,-0.12800000000000036
text_mstcn,Mult_acc_7,0.15,0.2,-0.30000000000000016
text_mstcn,Mult_acc_7,0.2,0.25,0.11599999999999946
text_mstcn,Mult_acc_7,0.25,0.3,0.6800000000000007
text_mstcn,Mult_acc_7,0.3,0.35,-1.6620000000000006
text_mstcn,Mult_acc_7,0.35,0.4,0.18599999999999933
text_mstcn,Mult_acc_7,0.4,0.45,-0.4859999999999999
text_mstcn,Mult_acc_7,0.45,0.5,-0.778
text_mstcn,Mult_acc_7,0.5,0.55,0.5819999999999997
text_mstcn,Mult_acc_7,0.55,0.6,-0.7180000000000013
text_mstcn,MAE,0.0,0.1,1.29
text_mstcn,MAE,0.1,0.15,0.9400000000000011
text_mstcn,MAE,0.15,0.2,1.113999999999999
text_mstcn,MAE,0.2,0.25,-0.1780000000000004
text_mstcn,MAE,0.25,0.3,-0.07400000000000075
text_mstcn,MAE,0.3,0.35,2.4920000000000013
text_mstcn,MAE,0.35,0.4,0.777999999999998
text_mstcn,MAE,0.4,0.45,0.3040000000000021
text_mstcn,MAE,0.45,0.5,3.1599999999999993
text_mstcn,MAE,0.5,0.55,-1.5239999999999951
text_mstcn,MAE,0.55,0.6,1.4220000000000008
text_mstcn,Corr,0.0,0.1,-0.5359999999999998
text_mstcn,Corr,0.1,0.15,-0.8940000000000017
text_mstcn,Corr,0.15,0.2,-0.6219999999999979
text_mstcn,Corr,0.2,0.25,-0.24399999999999983
text_mstcn,Corr,0.25,0.3,-0.4620000000000003
text_mstcn,Corr,0.3,0.35,-1.232
text_mstcn,Corr,0.35,0.4,-0.3419999999999998
text_mstcn,Corr,0.4,0.45,-0.6779999999999987
text_mstcn,Corr,0.45,0.5,-0.9560000000000015
text_mstcn,Corr,0.5,0.55,-0.5960000000000004
text_mstcn,Corr,0.55,0.6,-3.166000000000003
text_mstcn,Loss,0.0,0.1,1.2769999999999992
text_mstcn,Loss,0.1,0.15,0.9280000000000002
text_mstcn,Loss,0.15,0.2,1.1140000000000012
text_mstcn,Loss,0.2,0.25,-0.20000000000000023
text_mstcn,Loss,0.25,0.3,-0.09600000000000056
text_mstcn,Loss,0.3,0.35,2.4800000000000004
text_mstcn,Loss,0.35,0.4,0.7500000000000011
text_mstcn,Loss,0.4,0.45,0.3019999999999979
text_mstcn,Loss,0.45,0.5,3.174000000000002
text_mstcn,Loss,0.5,0.55,-1.5180000000000002
text_mstcn,Loss,0.55,0.6,1.478000000000008
dynamic_rule,Has0_acc_2,0.0,0.1,-0.2186666666666659
dynamic_rule,Has0_acc_2,0.1,0.15,-0.28533333333333527
dynamic_rule,Has0_acc_2,0.15,0.2,-0.4670000000000017
dynamic_rule,Has0_acc_2,0.2,0.25,-0.01899999999999569
dynamic_rule,Has0_acc_2,0.25,0.3,-0.8613333333333364
dynamic_rule,Has0_acc_2,0.3,0.35,0.4733333333333324
dynamic_rule,Has0_acc_2,0.35,0.4,-0.7689999999999968
dynamic_rule,Has0_acc_2,0.4,0.45,0.3109999999999991
dynamic_rule,Has0_acc_2,0.45,0.5,-0.8999999999999988
dynamic_rule,Has0_acc_2,0.5,0.55,-0.23600000000000265
dynamic_rule,Has0_acc_2,0.55,0.6,-0.3409999999999984
dynamic_rule,Has0_F1_score,0.0,0.1,-0.21099999999999786
dynamic_rule,Has0_F1_score,0.1,0.15,-0.3160000000000008
dynamic_rule,Has0_F1_score,0.15,0.2,-0.46000000000000024
dynamic_rule,Has0_F1_score,0.2,0.25,-0.02200000000000202
dynamic_rule,Has0_F1_score,0.25,0.3,-0.7759999999999969
dynamic_rule,Has0_F1_score,0.3,0.35,0.3679999999999995
dynamic_rule,Has0_F1_score,0.35,0.4,-0.6819999999999998
dynamic_rule,Has0_F1_score,0.4,0.45,0.2479999999999994
dynamic_rule,Has0_F1_score,0.45,0.5,-0.6306666666666662
dynamic_rule,Has0_F1_score,0.5,0.55,-0.5073333333333325
dynamic_rule,Has0_F1_score,0.55,0.6,-0.3600000000000008
dynamic_rule,Non0_acc_2,0.0,0.1,-0.19333333333333647
dynamic_rule,Non0_acc_2,0.1,0.15,-0.4126666666666635
dynamic_rule,Non0_acc_2,0.15,0.2,-0.5089999999999992
dynamic_rule,Non0_acc_2,0.2,0.25,-0.0810000000000022
dynamic_rule,Non0_acc_2,0.25,0.3,-0.9726666666666641
dynamic_rule,Non0_acc_2,0.3,0.35,0.6266666666666666
dynamic_rule,Non0_acc_2,0.35,0.4,-0.7869999999999993
dynamic_rule,Non0_acc_2,0.4,0.45,0.34100000000000025
dynamic_rule,Non0_acc_2,0.45,0.5,-0.9966666666666659
dynamic_rule,Non0_acc_2,0.5,0.55,-0.2533333333333341
dynamic_rule,Non0_acc_2,0.55,0.6,-0.3100000000000018
dynamic_rule,Non0_F1_score,0.0,0.1,-0.1870000000000016
dynamic_rule,Non0_F1_score,0.1,0.15,-0.4386666666666651
dynamic_rule,Non0_F1_score,0.15,0.2,-0.5059999999999973
dynamic_rule,Non0_F1_score,0.2,0.25,-0.08400000000000409
dynamic_rule,Non0_F1_score,0.25,0.3,-0.8979999999999968
dynamic_rule,Non0_F1_score,0.3,0.35,0.536000000000001
dynamic_rule,Non0_F1_score,0.35,0.4,-0.7120000000000009
dynamic_rule,Non0_F1_score,0.4,0.45,0.28399999999999986
dynamic_rule,Non0_F1_score,0.45,0.5,-0.7446666666666669
dynamic_rule,Non0_F1_score,0.5,0.55,-0.5093333333333345
dynamic_rule,Non0_F1_score,0.55,0.6,-0.3309999999999995
dynamic_rule,Mult_acc_5,0.0,0.1,-0.2926666666666661
dynamic_rule,Mult_acc_5,0.1,0.15,-0.5573333333333342
dynamic_rule,Mult_acc_5,0.15,0.2,-0.7190000000000005
dynamic_rule,Mult_acc_5,0.2,0.25,-0.18499999999999964
dynamic_rule,Mult_acc_5,0.25,0.3,-1.095333333333334
dynamic_rule,Mult_acc_5,0.3,0.35,-0.35266666666666563
dynamic_rule,Mult_acc_5,0.35,0.4,-0.3890000000000001
dynamic_rule,Mult_acc_5,0.4,0.45,0.00900000000000012
dynamic_rule,Mult_acc_5,0.45,0.5,-0.5506666666666672
dynamic_rule,Mult_acc_5,0.5,0.55,0.06466666666666615
dynamic_rule,Mult_acc_5,0.55,0.6,-0.51
dynamic_rule,Mult_acc_7,0.0,0.1,-0.45500000000000096
dynamic_rule,Mult_acc_7,0.1,0.15,-0.427333333333333
dynamic_rule,Mult_acc_7,0.15,0.2,-0.22299999999999978
dynamic_rule,Mult_acc_7,0.2,0.25,-0.5069999999999998
dynamic_rule,Mult_acc_7,0.25,0.3,-0.4720000000000003
dynamic_rule,Mult_acc_7,0.3,0.35,-0.21800000000000047
dynamic_rule,Mult_acc_7,0.35,0.4,-0.35299999999999965
dynamic_rule,Mult_acc_7,0.4,0.45,0.1690000000000003
dynamic_rule,Mult_acc_7,0.45,0.5,-0.5213333333333343
dynamic_rule,Mult_acc_7,0.5,0.55,0.1433333333333335
dynamic_rule,Mult_acc_7,0.55,0.6,-0.5729999999999998
dynamic_rule,MAE,0.0,0.1,0.9676666666666678
dynamic_rule,MAE,0.1,0.15,1.6833333333333327
dynamic_rule,MAE,0.15,0.2,0.4279999999999971
dynamic_rule,MAE,0.2,0.25,0.7220000000000005
dynamic_rule,MAE,0.25,0.3,1.2800000000000014
dynamic_rule,MAE,0.3,0.35,-0.331999999999999
dynamic_rule,MAE,0.35,0.4,1.5039999999999973
dynamic_rule,MAE,0.4,0.45,-0.32999999999999924
dynamic_rule,MAE,0.45,0.5,1.749333333333332
dynamic_rule,MAE,0.5,0.55,-0.07133333333332985
dynamic_rule,MAE,0.55,0.6,1.4759999999999993
dynamic_rule,Corr,0.0,0.1,-0.5346666666666677
dynamic_rule,Corr,0.1,0.15,-1.0053333333333316
dynamic_rule,Corr,0.15,0.2,-0.32199999999999995
dynamic_rule,Corr,0.2,0.25,-0.45800000000000074
dynamic_rule,Corr,0.25,0.3,-0.8273333333333313
dynamic_rule,Corr,0.3,0.35,-0.5566666666666699
dynamic_rule,Corr,0.35,0.4,-1.066999999999997
dynamic_rule,Corr,0.4,0.45,-0.0790000000000002
dynamic_rule,Corr,0.45,0.5,-1.6100000000000008
dynamic_rule,Corr,0.5,0.55,-0.6759999999999994
dynamic_rule,Corr,0.55,0.6,-0.7520000000000014
dynamic_rule,Loss,0.0,0.1,0.9680000000000022
dynamic_rule,Loss,0.1,0.15,1.6706666666666652
dynamic_rule,Loss,0.15,0.2,0.4149999999999986
dynamic_rule,Loss,0.2,0.25,0.7370000000000011
dynamic_rule,Loss,0.25,0.3,1.2173333333333327
dynamic_rule,Loss,0.3,0.35,-0.33733333333333176
dynamic_rule,Loss,0.35,0.4,1.499
dynamic_rule,Loss,0.4,0.45,-0.32900000000000157
dynamic_rule,Loss,0.45,0.5,1.7493333333333365
dynamic_rule,Loss,0.5,0.55,-0.08133333333333319
dynamic_rule,Loss,0.55,0.6,1.516999999999997
dynamic_lte_mstcn,Has0_acc_2,0.0,0.1,-0.29100000000000015
dynamic_lte_mstcn,Has0_acc_2,0.1,0.15,
dynamic_lte_mstcn,Has0_acc_2,0.15,0.2,
dynamic_lte_mstcn,Has0_acc_2,0.2,0.25,
dynamic_lte_mstcn,Has0_acc_2,0.25,0.3,
dynamic_lte_mstcn,Has0_acc_2,0.3,0.35,
dynamic_lte_mstcn,Has0_acc_2,0.35,0.4,
dynamic_lte_mstcn,Has0_acc_2,0.4,0.45,
dynamic_lte_mstcn,Has0_acc_2,0.45,0.5,
dynamic_lte_mstcn,Has0_acc_2,0.5,0.55,
dynamic_lte_mstcn,Has0_acc_2,0.55,0.6,
dynamic_lte_mstcn,Has0_F1_score,0.0,0.1,-0.2870000000000006
dynamic_lte_mstcn,Has0_F1_score,0.1,0.15,
dynamic_lte_mstcn,Has0_F1_score,0.15,0.2,
dynamic_lte_mstcn,Has0_F1_score,0.2,0.25,
dynamic_lte_mstcn,Has0_F1_score,0.25,0.3,
dynamic_lte_mstcn,Has0_F1_score,0.3,0.35,
dynamic_lte_mstcn,Has0_F1_score,0.35,0.4,
dynamic_lte_mstcn,Has0_F1_score,0.4,0.45,
dynamic_lte_mstcn,Has0_F1_score,0.45,0.5,
dynamic_lte_mstcn,Has0_F1_score,0.5,0.55,
dynamic_lte_mstcn,Has0_F1_score,0.55,0.6,
dynamic_lte_mstcn,Non0_acc_2,0.0,0.1,-0.2750000000000008
dynamic_lte_mstcn,Non0_acc_2,0.1,0.15,
dynamic_lte_mstcn,Non0_acc_2,0.15,0.2,
dynamic_lte_mstcn,Non0_acc_2,0.2,0.25,
dynamic_lte_mstcn,Non0_acc_2,0.25,0.3,
dynamic_lte_mstcn,Non0_acc_2,0.3,0.35,
dynamic_lte_mstcn,Non0_acc_2,0.35,0.4,
dynamic_lte_mstcn,Non0_acc_2,0.4,0.45,
dynamic_lte_mstcn,Non0_acc_2,0.45,0.5,
dynamic_lte_mstcn,Non0_acc_2,0.5,0.55,
dynamic_lte_mstcn,Non0_acc_2,0.55,0.6,
dynamic_lte_mstcn,Non0_F1_score,0.0,0.1,-0.27000000000000024
dynamic_lte_mstcn,Non0_F1_score,0.1,0.15,
dynamic_lte_mstcn,Non0_F1_score,0.15,0.2,
dynamic_lte_mstcn,Non0_F1_score,0.2,0.25,
dynamic_lte_mstcn,Non0_F1_score,0.25,0.3,
dynamic_lte_mstcn,Non0_F1_score,0.3,0.35,
