method_name,metric,r_lo,r_hi,slope
text_mstcn,Loss,0.0,0.1,0.6119999999999992
text_mstcn,Loss,0.1,0.15,
text_mstcn,Loss,0.15,0.2,
text_mstcn,Loss,0.2,0.25,
text_mstcn,Loss,0.25,0.3,
text_mstcn,Loss,0.3,0.35,
text_mstcn,Loss,0.35,0.4,
text_mstcn,Loss,0.4,0.45,
text_mstcn,Loss,0.45,0.5,
text_mstcn,Loss,0.5,0.55,
text_mstcn,Loss,0.55,0.6,
dynamic_rule,Has0_acc_2,0.0,0.1,0.3300000000000014
dynamic_rule,Has0_acc_2,0.1,0.15,
dynamic_rule,Has0_acc_2,0.15,0.2,
dynamic_rule,Has0_acc_2,0.2,0.25,
dynamic_rule,Has0_acc_2,0.25,0.3,
dynamic_rule,Has0_acc_2,0.3,0.35,
dynamic_rule,Has0_acc_2,0.35,0.4,
dynamic_rule,Has0_acc_2,0.4,0.45,
dynamic_rule,Has0_acc_2,0.45,0.5,
dynamic_rule,Has0_acc_2,0.5,0.55,
dynamic_rule,Has0_acc_2,0.55,0.6,
dynamic_rule,Has0_F1_score,0.0,0.1,0.36599999999999966
dynamic_rule,Has0_F1_score,0.1,0.15,
dynamic_rule,Has0_F1_score,0.15,0.2,
dynamic_rule,Has0_F1_score,0.2,0.25,
dynamic_rule,Has0_F1_score,0.25,0.3,
dynamic_rule,Has0_F1_score,0.3,0.35,
dynamic_rule,Has0_F1_score,0.35,0.4,
dynamic_rule,Has0_F1_score,0.4,0.45,
dynamic_rule,Has0_F1_score,0.45,0.5,
dynamic_rule,Has0_F1_score,0.5,0.55,
dynamic_rule,Has0_F1_score,0.55,0.6,
dynamic_rule,Non0_acc_2,0.0,0.1,0.031999999999999806
dynamic_rule,Non0_acc_2,0.1,0.15,
dynamic_rule,Non0_acc_2,0.15,0.2,
dynamic_rule,Non0_acc_2,0.2,0.25,
dynamic_rule,Non0_acc_2,0.25,0.3,
dynamic_rule,Non0_acc_2,0.3,0.35,
dynamic_rule,Non0_acc_2,0.35,0.4,
dynamic_rule,Non0_acc_2,0.4,0.45,
dynamic_rule,Non0_acc_2,0.45,0.5,
dynamic_rule,Non0_acc_2,0.5,0.55,
dynamic_rule,Non0_acc_2,0.55,0.6,
dynamic_rule,Non0_F1_score,0.0,0.1,0.049000000000001265
dynamic_rule,Non0_F1_score,0.1,0.15,
dynamic_rule,Non0_F1_score,0.15,0.2,
dynamic_rule,Non0_F1_score,0.2,0.25,
dynamic_rule,Non0_F1_score,0.25,0.3,
dynamic_rule,Non0_F1_score,0.3,0.35,
dynamic_rule,Non0_F1_score,0.35,0.4,
dynamic_rule,Non0_F1_score,0.4,0.45,
dynamic_rule,Non0_F1_score,0.45,0.5,
dynamic_rule,Non0_F1_score,0.5,0.55,
dynamic_rule,Non0_F1_score,0.55,0.6,
dynamic_rule,Mult_acc_5,0.0,0.1,-0.3939999999999999
dynamic_rule,Mult_acc_5,0.1,0.15,
dynamic_rule,Mult_acc_5,0.15,0.2,
dynamic_rule,Mult_acc_5,0.2,0.25,
dynamic_rule,Mult_acc_5,0.25,0.3,
dynamic_rule,Mult_acc_5,0.3,0.35,
dynamic_rule,Mult_acc_5,0.35,0.4,
dynamic_rule,Mult_acc_5,0.4,0.45,
dynamic_rule,Mult_acc_5,0.45,0.5,
dynamic_rule,Mult_acc_5,0.5,0.55,
dynamic_rule,Mult_acc_5,0.55,0.6,
dynamic_rule,Mult_acc_7,0.0,0.1,-0.32199999999999895
dynamic_rule,Mult_acc_7,0.1,0.15,
dynamic_rule,Mult_acc_7,0.15,0.2,
dynamic_rule,Mult_acc_7,0.2,0.25,
dynamic_rule,Mult_acc_7,0.25,0.3,
dynamic_rule,Mult_acc_7,0.3,0.35,
dynamic_rule,Mult_acc_7,0.35,0.4,
dynamic_rule,Mult_acc_7,0.4,0.45,
dynamic_rule,Mult_acc_7,0.45,0.5,
dynamic_rule,Mult_acc_7,0.5,0.55,
dynamic_rule,Mult_acc_7,0.55,0.6,
dynamic_rule,MAE,0.0,0.1,0.4679999999999995
dynamic_rule,MAE,0.1,0.15,
dynamic_rule,MAE,0.15,0.2,
dynamic_rule,MAE,0.2,0.25,
dynamic_rule,MAE,0.25,0.3,
dynamic_rule,MAE,0.3,0.35,
dynamic_rule,MAE,0.35,0.4,
dynamic_rule,MAE,0.4,0.45,
dynamic_rule,MAE,0.45,0.5,
dynamic_rule,MAE,0.5,0.55,
dynamic_rule,MAE,0.55,0.6,
dynamic_rule,Corr,0.0,0.1,-0.4070000000000007
dynamic_rule,Corr,0.1,0.15,
dynamic_rule,Corr,0.15,0.2,
dynamic_rule,Corr,0.2,0.25,
dynamic_rule,Corr,0.25,0.3,
dynamic_rule,Corr,0.3,0.35,
dynamic_rule,Corr,0.35,0.4,
dynamic_rule,Corr,0.4,0.45,
dynamic_rule,Corr,0.45,0.5,
dynamic_rule,Corr,0.5,0.55,
dynamic_rule,Corr,0.55,0.6,
dynamic_rule,Loss,0.0,0.1,0.46700000000000075
dynamic_rule,Loss,0.1,0.15,
dynamic_rule,Loss,0.15,0.2,
dynamic_rule,Loss,0.2,0.25,
dynamic_rule,Loss,0.25,0.3,
dynamic_rule,Loss,0.3,0.35,
dynamic_rule,Loss,0.35,0.4,
dynamic_rule,Loss,0.4,0.45,
dynamic_rule,Loss,0.45,0.5,
dynamic_rule,Loss,0.5,0.55,
dynamic_rule,Loss,0.55,0.6,
dynamic_lte_mstcn,Has0_acc_2,0.0,0.1,0.25399999999999867
dynamic_lte_mstcn,Has0_acc_2,0.1,0.15,
dynamic_lte_mstcn,Has0_acc_2,0.15,0.2,
dynamic_lte_mstcn,Has0_acc_2,0.2,0.25,
dynamic_lte_mstcn,Has0_acc_2,0.25,0.3,
dynamic_lte_mstcn,Has0_acc_2,0.3,0.35,
dynamic_lte_mstcn,Has0_acc_2,0.35,0.4,
dynamic_lte_mstcn,Has0_acc_2,0.4,0.45,
dynamic_lte_mstcn,Has0_acc_2,0.45,0.5,
dynamic_lte_mstcn,Has0_acc_2,0.5,0.55,
dynamic_lte_mstcn,Has0_acc_2,0.55,0.6,
dynamic_lte_mstcn,Has0_F1_score,0.0,0.1,0.25799999999999934
dynamic_lte_mstcn,Has0_F1_score,0.1,0.15,
dynamic_lte_mstcn,Has0_F1_score,0.15,0.2,
dynamic_lte_mstcn,Has0_F1_score,0.2,0.25,
dynamic_lte_mstcn,Has0_F1_score,0.25,0.3,
dynamic_lte_mstcn,Has0_F1_score,0.3,0.35,
