dataset,missing,mode,phase,protocol_tag,fusion_center_mode,use_anchor_moe,seed,train_drop_last,eval_drop_last,test_drop_last,task_router_lambda,center_aux_lambda,router_oracle_temperature,router_oracle_type,router_missing_bias,gate_balance_lambda,gate_target,rta_gate_mode,use_prediction_gate_supervision,gate_oracle_temperature,gate_task_lambda,use_task_aware_router,use_reliability_task_gate,export_anchor_weights,export_task_router_info,train_batch_size,eval_batch_size,test_batch_size,output_dir,effective_train_samples,effective_valid_samples,effective_test_samples,status,log_path,run_id,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mosi,0.700000,text,full,trainDL1_evalDL0_testDL0,text,0,11111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.7_text_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.7_text_seed11111_trainDL1_evalDL0_testDL0_20260526_0748,0.626800,0.630700,0.640200,0.642600,0.218700,0.217200,1.267400,0.319000,1.265900
mosi,0.700000,vision,full,trainDL1_evalDL0_testDL0,vision,0,111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.7_vision_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.7_vision_seed111_trainDL1_evalDL0_testDL0_20260526_0805,0.628300,0.628000,0.632600,0.631200,0.231800,0.218700,1.375800,0.304800,1.377500
mosi,0.700000,vision,full,trainDL1_evalDL0_testDL0,vision,0,1111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.7_vision_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.7_vision_seed1111_trainDL1_evalDL0_testDL0_20260526_0805,0.625400,0.640000,0.617400,0.630300,0.207000,0.202600,1.338900,0.363400,1.338200
mosi,0.700000,vision,full,trainDL1_evalDL0_testDL0,vision,0,11111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.7_vision_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.7_vision_seed11111_trainDL1_evalDL0_testDL0_20260526_0805,0.612200,0.625300,0.603700,0.614900,0.247800,0.231800,1.392500,0.353000,1.388500
mosi,0.800000,dynamic_rta_pred_residual,full,trainDL1_evalDL0_testDL0,dynamic_rta_pred_residual,0,111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,1,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10/rta_pred_residual_analysis,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.8_dynamic_rta_pred_residual_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.8_dynamic_rta_pred_residual_seed111_trainDL1_evalDL0_testDL0_20260526_1044,0.545200,0.563900,0.529000,0.544800,0.180800,0.180800,1.441400,0.125500,1.440200
mosi,0.800000,dynamic_rta_pred_residual,full,trainDL1_evalDL0_testDL0,dynamic_rta_pred_residual,0,1111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,1,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10/rta_pred_residual_analysis,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.8_dynamic_rta_pred_residual_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.8_dynamic_rta_pred_residual_seed1111_trainDL1_evalDL0_testDL0_20260526_1044,0.612200,0.615900,0.606700,0.608700,0.236200,0.228900,1.368300,0.282300,1.368300
mosi,0.800000,dynamic_rta_pred_residual,full,trainDL1_evalDL0_testDL0,dynamic_rta_pred_residual,0,11111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,1,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10/rta_pred_residual_analysis,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.8_dynamic_rta_pred_residual_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.8_dynamic_rta_pred_residual_seed11111_trainDL1_evalDL0_testDL0_20260526_1044,0.622400,0.624900,0.625000,0.626700,0.214300,0.208500,1.306800,0.264900,1.306100
mosi,0.800000,dynamic_soft,full,trainDL1_evalDL0_testDL0,dynamic_soft,0,111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.8_dynamic_soft_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.8_dynamic_soft_seed111_trainDL1_evalDL0_testDL0_20260526_1013,0.489800,0.599100,0.466500,0.574400,0.166200,0.166200,1.471600,0.186900,1.469500
mosi,0.800000,dynamic_soft,full,trainDL1_evalDL0_testDL0,dynamic_soft,0,1111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.8_dynamic_soft_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.8_dynamic_soft_seed1111_trainDL1_evalDL0_testDL0_20260526_1013,0.447500,0.618300,0.422300,0.593800,0.157400,0.157400,1.549500,0.143700,1.550200
mosi,0.800000,dynamic_soft,full,trainDL1_evalDL0_testDL0,dynamic_soft,0,11111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.8_dynamic_soft_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.8_dynamic_soft_seed11111_trainDL1_evalDL0_testDL0_20260526_1013,0.447500,0.618300,0.422300,0.593800,0.154500,0.154500,1.497400,0.085200,1.497000
